original_address,lat,lon,formatted,name,housenumber,street,suburb,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"""248 TAYLOR ST, SAN FRANCISCO, CA 94102""",37.78461395918367,-122.41094208163265,"248 Taylor Street, San Francisco, CA 94102, United States of America",,248,Taylor Street,,,94102,Tenderloin,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""345 HAIGHT ST, SAN FRANCISCO, CA 94102""",37.77234767346938,-122.42789528571429,"345 Haight Street, San Francisco, CA 94102, United States of America",,345,Haight Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""146 HERMANN ST, SAN FRANCISCO, CA 94102""",37.77064267346939,-122.42757904081633,"146 Hermann Street, San Francisco, CA 94102, United States of America",,146,Hermann Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""416 LINDEN ST, SAN FRANCISCO, CA 94102""",37.77624024489796,-122.42491630612246,"416 Linden Street, San Francisco, CA 94102, United States of America",,416,Linden Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""223 LILY ST, SAN FRANCISCO, CA 94102""",37.7742026122449,-122.42458248979591,"223 Lily Street, San Francisco, CA 94102, United States of America",,223,Lily Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""630 IVY ST, SAN FRANCISCO, CA 94102""",37.776730868421055,-122.42856957894737,"630 Ivy Street, San Francisco, CA 94102, United States of America",,630,Ivy Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""535 BIRCH ST, SAN FRANCISCO, CA 94102""",37.77791167346939,-122.42550485714285,"535 Birch Street, San Francisco, CA 94102, United States of America",,535,Birch Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""771 GROVE ST, SAN FRANCISCO, CA 94102""",37.77695789655173,-122.42917568965517,"771 Grove Street, San Francisco, CA 94102, United States of America",,771,Grove Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""124 PAGE ST, SAN FRANCISCO, CA 94102""",37.7741262,-122.4229519,"124 Page Street, San Francisco, CA 94102, United States of America",,124,Page Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""400 PAGE ST, SAN FRANCISCO, CA 94102""",37.773517,-122.427527,"400 Page Street, San Francisco, CA 94102, United States of America",,400,Page Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""112 HAIGHT ST, SAN FRANCISCO, CA 94102""",37.772984183673465,-122.42420171428572,"112 Haight Street, San Francisco, CA 94102, United States of America",,112,Haight Street,,,94102,Western Addition,San Francisco,California,CA,United States,us,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
